"rt","response","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","start_time","n_Prac","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","question_order","stage","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","plugin_name"
"37185","{""sub_id"":""0709"",""task_type"":""task1"",""name"":""yyj"",""gender"":""m""}","basic_info","survey-html-form","0","37191","0.0-0.0","07:09:39","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","39607","0.0-1.0-0.0","07:09:39","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","2","40088","0.0-1.0-1.0","07:09:39","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","60826","0.0-1.0-2.0","07:09:39","2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"12594","","instruct","instructions","4","73421","0.0-1.0-3.0-0.0","07:09:39","2","","","","","","[{""page_index"":0,""viewing_time"":5514},{""page_index"":1,""viewing_time"":4882},{""page_index"":2,""viewing_time"":2198}]","","","","","","","","","","","","","","","","","","","",""
"8496","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 数字键1-3 </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","5","81920","0.0-1.0-3.0-1.0","07:09:39","2","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"2047"," ","inst_q","html-keyboard-response","6","83968","0.0-1.0-3.0-2.0","07:09:39","2","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"8300","","instruct","instructions","7","92268","0.0-1.0-3.1-0.1","07:09:39","2","","","","","","[{""page_index"":0,""viewing_time"":2870},{""page_index"":1,""viewing_time"":2647},{""page_index"":2,""viewing_time"":2782}]","","","","","","","","","","","","","","","","","","","",""
"10942","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 数字键1-3 </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","8","103212","0.0-1.0-3.1-1.1","07:09:39","2","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"811"," ","inst_q","html-keyboard-response","9","104024","0.0-1.0-3.1-2.1","07:09:39","2","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"6267","","instruct","instructions","10","110291","0.0-1.0-3.2-0.2","07:09:39","2","","","","","","[{""page_index"":0,""viewing_time"":4811},{""page_index"":1,""viewing_time"":556},{""page_index"":2,""viewing_time"":900}]","","","","","","","","","","","","","","","","","","","",""
"5851","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 图片下方标注为可用的数字键（数字键1-3或0-9） </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","11","116143","0.0-1.0-3.2-1.2","07:09:39","2","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"1975"," ","inst_q","html-keyboard-response","12","118120","0.0-1.0-3.2-2.2","07:09:39","2","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"","","","preload","13","119259","0.0-1.0-4.0-0.0","07:09:39","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"2732"," ","","html-keyboard-response","14","121991","0.0-1.0-4.0-1.0","07:09:39","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请学习图片和数字之间的对应关系</p>
                    <p>我们将<span style='color: blue'><b> 告诉 </b></span>您选择的对错。请根据反馈学习。</p>
                    <p>请按""空格""继续实验。</p></div>","","","","","","","","","","","","","","","","","","",""
"3159"," ","inst","html-keyboard-response","15","125152","0.0-1.0-4.0-2.0","07:09:39","2","","","","","","","<img class='instruct_stim' src=""instruction/prac3.PNG""></div>","","","","","","","","","","","","","","","","","","",""
"null","null","fixation","html-keyboard-response","16","125656","0.0-1.0-4.0-3.0-0.0","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"1718","1","pic_response","html-keyboard-response","17","127375","0.0-1.0-4.0-3.0-1.0","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"1718","null","sub_response","html-keyboard-response","18","128377","0.0-1.0-4.0-3.0-2.0","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1",""
"null","null","fixation","html-keyboard-response","19","128879","0.0-1.0-4.0-3.0-0.1","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"912","2","pic_response","html-keyboard-response","20","129791","0.0-1.0-4.0-3.0-1.1","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/1.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"912","null","sub_response","html-keyboard-response","21","130793","0.0-1.0-4.0-3.0-2.1","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: red; font-size: 40px""><b>错误！+0 pts</b></span></div>
                            ","","learn","1","1","1","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0",""
"null","null","fixation","html-keyboard-response","22","131295","0.0-1.0-4.0-3.0-0.2","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"1087","2","pic_response","html-keyboard-response","23","132383","0.0-1.0-4.0-3.0-1.2","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/2.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"1087","null","sub_response","html-keyboard-response","24","133384","0.0-1.0-4.0-3.0-2.2","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: red; font-size: 40px""><b>错误！+0 pts</b></span></div>
                            ","","learn","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0",""
"null","null","fixation","html-keyboard-response","25","133886","0.0-1.0-4.0-3.0-0.3","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"689","1","pic_response","html-keyboard-response","26","134575","0.0-1.0-4.0-3.0-1.3","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"689","null","sub_response","html-keyboard-response","27","135577","0.0-1.0-4.0-3.0-2.3","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1",""
"null","null","fixation","html-keyboard-response","28","136079","0.0-1.0-4.0-3.0-0.4","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"721","2","pic_response","html-keyboard-response","29","136800","0.0-1.0-4.0-3.0-1.4","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/1.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"721","null","sub_response","html-keyboard-response","30","137801","0.0-1.0-4.0-3.0-2.4","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: red; font-size: 40px""><b>错误！+0 pts</b></span></div>
                            ","","learn","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","0","1","0",""
"null","null","fixation","html-keyboard-response","31","138302","0.0-1.0-4.0-3.0-0.5","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"704","3","pic_response","html-keyboard-response","32","139007","0.0-1.0-4.0-3.0-1.5","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/2.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"704","null","sub_response","html-keyboard-response","33","140008","0.0-1.0-4.0-3.0-2.5","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","1","2","1",""
"","","","preload","34","140010","0.0-1.0-4.1-0.1","07:09:39","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"1774"," ","","html-keyboard-response","35","141784","0.0-1.0-4.1-1.1","07:09:39","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请学习图片和数字之间的对应关系</p>
                    <p>我们将<span style='color: blue'><b> 告诉 </b></span>您选择的对错。请根据反馈学习。</p>
                    <p>请按""空格""继续实验。</p></div>","","","","","","","","","","","","","","","","","","",""
"2230"," ","inst","html-keyboard-response","36","144015","0.0-1.0-4.1-2.1","07:09:39","2","","","","","","","<img class='instruct_stim' src=""instruction/prac3.PNG""></div>","","","","","","","","","","","","","","","","","","",""
"null","null","fixation","html-keyboard-response","37","144516","0.0-1.0-4.1-3.1-0.6","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"555","1","pic_response","html-keyboard-response","38","145071","0.0-1.0-4.1-3.1-1.6","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"555","null","sub_response","html-keyboard-response","39","146072","0.0-1.0-4.1-3.1-2.6","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","2","0","1",""
"null","null","fixation","html-keyboard-response","40","146574","0.0-1.0-4.1-3.1-0.7","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"969","1","pic_response","html-keyboard-response","41","147543","0.0-1.0-4.1-3.1-1.7","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/1.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"969","null","sub_response","html-keyboard-response","42","148545","0.0-1.0-4.1-3.1-2.7","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","1","1","1","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","3","0","1",""
"null","null","fixation","html-keyboard-response","43","149046","0.0-1.0-4.1-3.1-0.8","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"625","3","pic_response","html-keyboard-response","44","149671","0.0-1.0-4.1-3.1-1.8","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/2.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"625","null","sub_response","html-keyboard-response","45","150672","0.0-1.0-4.1-3.1-2.8","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","4","2","1",""
"null","null","fixation","html-keyboard-response","46","151174","0.0-1.0-4.1-3.1-0.9","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"512","1","pic_response","html-keyboard-response","47","151687","0.0-1.0-4.1-3.1-1.9","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"512","null","sub_response","html-keyboard-response","48","152690","0.0-1.0-4.1-3.1-2.9","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","5","0","1",""
"null","null","fixation","html-keyboard-response","49","153191","0.0-1.0-4.1-3.1-0.10","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"784","1","pic_response","html-keyboard-response","50","153975","0.0-1.0-4.1-3.1-1.10","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/1.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"784","null","sub_response","html-keyboard-response","51","154977","0.0-1.0-4.1-3.1-2.10","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","6","0","1",""
"null","null","fixation","html-keyboard-response","52","155478","0.0-1.0-4.1-3.1-0.11","07:09:39","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"408","3","pic_response","html-keyboard-response","53","155887","0.0-1.0-4.1-3.1-1.11","07:09:39","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/2.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"408","null","sub_response","html-keyboard-response","54","156888","0.0-1.0-4.1-3.1-2.11","07:09:39","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","7","2","1",""
"1822"," ","","html-keyboard-response","55","158711","0.0-1.0-5.0","07:09:39","2","","","","","","","<div style=""font-size: 25px""><p>距下一个实验开始还有</p><div style=""font-size: 50px; color: blue""><p><span id=""clock"">1:00</span></div></p><p>按""空格""跳过休息</p></div>","","","","","","","","","","","","","","","","","","",""
"871"," ","","html-keyboard-response","56","159583","0.0-1.0-6.0","07:09:39","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请按""空格""继续正式实验。</p></div>","","","","","","","","","","","","","","","","","","",""
"","","","preload","57","161179","0.0-1.0-7.0-0.0","07:09:39","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"1861"," ","","html-keyboard-response","58","163040","0.0-1.0-7.0-1.0","07:09:39","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请学习图片和数字之间的对应关系</p>
                    <p>我们将<span style='color: blue'><b> 告诉 </b></span>您选择的对错。请根据反馈学习。</p>
                    <p>请按""空格""继续实验。</p></div>","","","","","","","","","","","","","","","","","","",""
