"rt","response","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","start_time","n_Prac","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","question_order","stage","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","plugin_name"
"31738","{""sub_id"":""Zilla"",""task_type"":""task1"",""name"":""Zilla"",""gender"":""F""}","basic_info","survey-html-form","0","31742","0.0-0.0","23:45:47","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","33031","0.0-1.0-0.0","23:45:47","3","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","2","33220","0.0-1.0-1.0","23:45:47","3","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","35974","0.0-1.0-2.0","23:45:47","3","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"30758","","instruct","instructions","4","66733","0.0-1.0-3.0-0.0","23:45:47","3","","","","","","[{""page_index"":0,""viewing_time"":14663},{""page_index"":1,""viewing_time"":8273},{""page_index"":2,""viewing_time"":7820}]","","","","","","","","","","","","","","","","","","","",""
"41518","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 数字键1-3 </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","5","108254","0.0-1.0-3.0-1.0","23:45:47","3","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"4093"," ","inst_q","html-keyboard-response","6","112353","0.0-1.0-3.0-2.0","23:45:47","3","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"21744","","instruct","instructions","7","134099","0.0-1.0-3.1-0.1","23:45:47","3","","","","","","[{""page_index"":0,""viewing_time"":4260},{""page_index"":1,""viewing_time"":5575},{""page_index"":0,""viewing_time"":1671},{""page_index"":1,""viewing_time"":1043},{""page_index"":2,""viewing_time"":9195}]","","","","","","","","","","","","","","","","","","","",""
"12913","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 图片下方标注为可用的数字键（数字键1-3或0-9） </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","8","147013","0.0-1.0-3.1-1.1","23:45:47","3","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"3607"," ","inst_q","html-keyboard-response","9","150624","0.0-1.0-3.1-2.1","23:45:47","3","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
