"rt","response","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","start_time","n_Prac","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","question_order","stage","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","plugin_name"
"50899","{""sub_id"":""52"",""task_type"":""task1"",""name"":""林露"",""gender"":""F""}","basic_info","survey-html-form","0","50904","0.0-0.0","22:59:06","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","52518","0.0-1.0-0.0","22:59:06","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","2","52814","0.0-1.0-1.0","22:59:06","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","55813","0.0-1.0-2.0","22:59:06","2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"66269","","instruct","instructions","4","122084","0.0-1.0-3.0-0.0","22:59:06","2","","","","","","[{""page_index"":0,""viewing_time"":21969},{""page_index"":1,""viewing_time"":26210},{""page_index"":2,""viewing_time"":18089}]","","","","","","","","","","","","","","","","","","","",""
"43476","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 图片下方标注为可用的数字键（数字键1-3或0-9） </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","5","165567","0.0-1.0-3.0-1.0","22:59:06","2","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"15626"," ","inst_q","html-keyboard-response","6","181195","0.0-1.0-3.0-2.0","22:59:06","2","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"","","","preload","7","181643","0.0-1.0-4.0-0.0","22:59:06","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"8803"," ","","html-keyboard-response","8","190448","0.0-1.0-4.0-1.0","22:59:06","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请学习图片和数字之间的对应关系</p>
                    <p>我们将<span style='color: blue'><b> 告诉 </b></span>您选择的对错。请根据反馈学习。</p>
                    <p>请按""空格""继续实验。</p></div>","","","","","","","","","","","","","","","","","","",""
"7024"," ","inst","html-keyboard-response","9","197475","0.0-1.0-4.0-2.0","22:59:06","2","","","","","","","<img class='instruct_stim' src=""instruction/prac3.PNG""></div>","","","","","","","","","","","","","","","","","","",""
"null","null","fixation","html-keyboard-response","10","197981","0.0-1.0-4.0-3.0-0.0","22:59:06","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"1266","1","pic_response","html-keyboard-response","11","199249","0.0-1.0-4.0-3.0-1.0","22:59:06","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"1266","null","sub_response","html-keyboard-response","12","200253","0.0-1.0-4.0-3.0-2.0","22:59:06","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: green; font-size: 40px""><b>正确！+1 pts</b></span></div>
                            ","","learn","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1",""
"null","null","fixation","html-keyboard-response","13","200760","0.0-1.0-4.0-3.0-0.1","22:59:06","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"752","1","pic_response","html-keyboard-response","14","201513","0.0-1.0-4.0-3.0-1.1","22:59:06","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/2.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
