"rt","response","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","start_time","n_Prac","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","question_order","stage","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","plugin_name"
"103893","{""sub_id"":""023"",""task_type"":""task1"",""name"":""柳哲旭"",""gender"":""M""}","basic_info","survey-html-form","0","103896","0.0-0.0","12:32:31","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","105635","0.0-1.0-0.0","12:32:31","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","2","105934","0.0-1.0-1.0","12:32:31","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","115965","0.0-1.0-2.0","12:32:31","2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"48054","","instruct","instructions","4","164021","0.0-1.0-3.0-0.0","12:32:31","2","","","","","","[{""page_index"":0,""viewing_time"":31705},{""page_index"":1,""viewing_time"":8854},{""page_index"":2,""viewing_time"":7494}]","","","","","","","","","","","","","","","","","","","",""
"90772","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 图片下方标注为可用的数字键（数字键1-3或0-9） </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","5","254795","0.0-1.0-3.0-1.0","12:32:31","2","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"1697"," ","inst_q","html-keyboard-response","6","256495","0.0-1.0-3.0-2.0","12:32:31","2","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"","","","preload","7","257031","0.0-1.0-4.0-0.0","12:32:31","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"3101"," ","","html-keyboard-response","8","260133","0.0-1.0-4.0-1.0","12:32:31","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请学习图片和数字之间的对应关系</p>
                    <p>我们将<span style='color: blue'><b> 告诉 </b></span>您选择的对错。请根据反馈学习。</p>
                    <p>请按""空格""继续实验。</p></div>","","","","","","","","","","","","","","","","","","",""
"2080"," ","inst","html-keyboard-response","9","262213","0.0-1.0-4.0-2.0","12:32:31","2","","","","","","","<img class='instruct_stim' src=""instruction/prac3.PNG""></div>","","","","","","","","","","","","","","","","","","",""
"null","null","fixation","html-keyboard-response","10","262716","0.0-1.0-4.0-3.0-0.0","12:32:31","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"1541","1","pic_response","html-keyboard-response","11","264260","0.0-1.0-4.0-3.0-1.0","12:32:31","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
