"rt","response","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","start_time","n_Prac","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","question_order","stage","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","plugin_name"
"58613","{""sub_id"":""289"",""task_type"":""task1"",""name"":""航"",""gender"":""M""}","basic_info","survey-html-form","0","58619","0.0-0.0","13:18:45","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","58674","0.0-1.0-0.0","13:18:45","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","2","58683","0.0-1.0-1.0","13:18:45","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","61276","0.0-1.0-2.0","13:18:45","2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"59815","","instruct","instructions","4","121092","0.0-1.0-3.0-0.0","13:18:45","2","","","","","","[{""page_index"":0,""viewing_time"":9239},{""page_index"":1,""viewing_time"":14183},{""page_index"":2,""viewing_time"":36392}]","","","","","","","","","","","","","","","","","","","",""
"48757","{""Q0"":"""",""task1"":""<span style='font-size: 24px'>学习图片和数字的对应关系</span>"",""task2"":""<span style='font-size: 24px'> 图片下方标注为可用的数字键（数字键1-3或0-9） </span>"",""task3"":""<span style='font-size: 24px'> 看到图片选出正确对应的数字 </span>""}","question","survey-multi-choice","5","169854","0.0-1.0-3.0-1.0","13:18:45","2","","","","","","","","[0,1,2,3]","","","","","","","","","","","","","","","","","",""
"131880"," ","inst_q","html-keyboard-response","6","301735","0.0-1.0-3.0-2.0","13:18:45","2","","","","","","","inst","","1","","","","","","","","","","","","","","","","",""
"","","","preload","7","301753","0.0-1.0-4.0-0.0","13:18:45","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"7106"," ","","html-keyboard-response","8","308861","0.0-1.0-4.0-1.0","13:18:45","2","","","","","","","<div style='font-size: 32px; text-align: center;'
                    <p>请学习图片和数字之间的对应关系</p>
                    <p>我们将<span style='color: blue'><b> 告诉 </b></span>您选择的对错。请根据反馈学习。</p>
                    <p>请按""空格""继续实验。</p></div>","","","","","","","","","","","","","","","","","","",""
"46391"," ","inst","html-keyboard-response","9","355253","0.0-1.0-4.0-2.0","13:18:45","2","","","","","","","<img class='instruct_stim' src=""instruction/prac3.PNG""></div>","","","","","","","","","","","","","","","","","","",""
"null","null","fixation","html-keyboard-response","10","355757","0.0-1.0-4.0-3.0-0.0","13:18:45","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"2109","3","pic_response","html-keyboard-response","11","357868","0.0-1.0-4.0-3.0-1.0","13:18:45","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/0.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"2109","null","sub_response","html-keyboard-response","12","358871","0.0-1.0-4.0-3.0-2.0","13:18:45","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: red; font-size: 40px""><b>错误！+0 pts</b></span></div>
                            ","","learn","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","2","0",""
"null","null","fixation","html-keyboard-response","13","359374","0.0-1.0-4.0-3.0-0.1","13:18:45","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"2054","2","pic_response","html-keyboard-response","14","361428","0.0-1.0-4.0-3.0-1.1","13:18:45","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/2.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
"2054","null","sub_response","html-keyboard-response","15","362431","0.0-1.0-4.0-3.0-2.1","13:18:45","2","","","","","","","<div style='text-align: center;'>
                            <span style=""color: red; font-size: 40px""><b>错误！+0 pts</b></span></div>
                            ","","learn","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0",""
"null","null","fixation","html-keyboard-response","16","362933","0.0-1.0-4.0-3.0-0.2","13:18:45","2","","","","","","","fixation","","","","","","","","","","","","","","","","","","",""
"558","1","pic_response","html-keyboard-response","17","363493","0.0-1.0-4.0-3.0-1.2","13:18:45","2","","","","","","","<div>
            <img class='stim' src=""pictures/prac/1.jpg""></div><div class=""button_prompt"">
                        <b>请用数字键1-3回答</b>
                        </div>","","","","","","","","","","","","","","","","","","",""
